review_idx,rating,review_text,cleanliness_sentiment,staff_service_sentiment,wifi_quality_sentiment,location_accessibility_sentiment,safety_&_securiy_sentiment,cleanliness_confidence,staff_service_confidence,wifi_quality_confidence,location_accessibility_confidence,safety_&_securiy_confidence,cleanliness_evidence,staff_service_evidence,wifi_quality_evidence,location_accessibility_evidence,safety_&_securiy_evidence
19206,4,"fabulous, husband recently returned hi wanted share experience ocean tower, little confused lobby construction sign directing second floor hard street greeted checked room hours early pleased.the new rooms beautiful, beds comfortable soft sheets heavenly beds, modern, n't realize fridge day left oh ",positive,positive,not_mentioned,not_mentioned,not_mentioned,0.9,1.0,0.0,0.0,0.0,the new rooms beautiful,"everyone working hotel friendly helpful especially leonor stay special, requested late 8 pm check thanksgiving leonor sure taken care, surprised returned beach day invited turkey dinner hotel homemade pumpkin pie",,,
78,4,"nice hotel husband stayed crown plaza spring break, arrival told given room beds booked king bed, matter resolved quickly, staff helpful met requests, room large clean quiet great view, location hotel decent, overall great experience, really no complaints said elevators bit slow, stay,  ",positive,positive,not_mentioned,neutral,not_mentioned,0.9,0.9,0.0,0.7,0.0,room large clean quiet great view,staff helpful met requests,,location hotel decent,
4891,4,"awesome staff nice modern feel booked floor room artus terrace view paris night, hotel contacted tell double booked room decided customer not going room, sanjay patricia concierge desk called nj sent emails apologizing offering suite hotel buci sister property 2 doors street, upset, loved buci staff",not_mentioned,positive,not_mentioned,not_mentioned,not_mentioned,0.0,1.0,0.0,0.0,0.0,,"sanjay patricia concierge desk called nj sent emails apologizing offering suite hotel buci sister property 2 doors street, loved buci staff n't nicer accomodating, sanjay booked lunch jules verne w/in eiffel tower local 6th arr restaurants dinner",,,
19150,4,"best hotel stayed china visited china weeks staying beijing xi'an hangzhou shanghai say hotel rest hotels stayed rest price, spoke fluent english room bathroom clean modern, good access wangfujing street nearby shopping, 30 minute walk forbideen city,  ",positive,positive,not_mentioned,positive,not_mentioned,0.9,0.9,0.0,0.9,0.0,room bathroom clean modern,spoke fluent english,,"good access wangfujing street nearby shopping, 30 minute walk forbideen city",
17793,4,"dream come true beautiful hotel, room close pool beach area.the entertainment crew wonderful earth fun people, really stay pleasurable.50 cents michael jackson great, dancers did great job, food not best, better, service bars restaurants better, clean kept.very family oriented lots kids noreen,  ",positive,positive,not_mentioned,not_mentioned,not_mentioned,0.9,0.9,0.0,0.0,0.0,clean kept,the entertainment crew wonderful earth fun people,,,
8264,4,"great breakfast stayed catalonia aragon 3 nights month november 2005, clean stylish rooms.front desk extremely helpful lost luggage problem, not center town nearby metro train airport, stated- great breakfast,  ",positive,positive,not_mentioned,positive,not_mentioned,0.9,0.9,0.0,0.8,0.0,clean stylish rooms,front desk extremely helpful lost luggage problem,,nearby metro train airport,
13736,4,"amazing staff stayed hotel 4 nights honeymoon, florence second stop, breakdown arrival tiny sign hotel making difficult n't know specific address, arrived smn train station knew short walk hotel piazza walked aimlessly, ironically decided stop ask directions went hotel, seeing carpet hotel felt stup",positive,positive,not_mentioned,positive,not_mentioned,0.9,1.0,0.0,0.9,0.0,"room tiny hotel paris pleasantly surprised room florence, standard room huge bathroom, enormous shower, lots storage, air conditioning worked","amazing staff stayed hotel 4 nights honeymoon, florence second stop, check girl dynamo, spoke number languages helped restaurants map museum bookings.",,convenient location close major sights,
5544,4,"great location helpful staff stay, hotel balestri web decided book relatively inexpensive rated, lived expectations, pleasant well-lit clean, staff helpful friendly, everthing ordering cab using cashing traveller checks checking effortless, location street arno 5 10 minutes major sites wonderful, ro",positive,positive,not_mentioned,positive,not_mentioned,0.9,1.0,0.0,0.95,0.0,pleasant well-lit clean,"staff helpful friendly, everthing ordering cab using cashing traveller checks checking effortless",,location street arno 5 10 minutes major sites wonderful,
8502,4,"loved, just spent nights montebello florence 12-14, great hotel smart clean tidy, restaurant great value excellent food wine, waiter brilliant attentive not intrusive, location quiet nice walk river centre, small negative point slighty aloof attitude reception staff male, makes, walking into/out tow",positive,neutral,not_mentioned,positive,positive,0.95,0.8,0.0,0.9,0.85,great hotel smart clean tidy,"small negative point slighty aloof attitude reception staff male, makes, walking into/out town evening make sure look beavers river arno definitely recommend hotel florence lovely generally friendly safe",,location quiet nice walk river centre,lovely generally friendly safe
11864,4,"great overall experience vibe hotel awesome, reading reviews booking hotel skepical..but clean great attendance problem remote n't mess not working, days felt safe, stayed hotel total 5 days, food course expensive hungry not sure go.. just step outside hotel left hotel 2 3 blocks left run china town",positive,positive,not_mentioned,positive,positive,0.95,0.95,0.0,0.9,0.9,clean great attendance problem remote n't mess not working,clean curtious staff quiet accommodating,,took just walked discovered opera house botanical gardens parks dinner cruise awesome city night lights shopping do,days felt safe
9497,4,"quirky attractive good expensive little quirky experience depends lot room vary considerably, started room 110 dark stifling airless box sealed window completely overlooked courtyard bar, a/c useless no hot water, happens ask early morning room arrange following night guests arrive ask repair proble",negative,neutral,not_mentioned,not_mentioned,not_mentioned,0.9,0.7,0.0,0.0,0.0,"started room 110 dark stifling airless box sealed window completely overlooked courtyard bar, a/c useless no hot water",happens ask early morning room arrange following night guests arrive ask repair problems wo n't happen moved floor room lovely little balcony overlooking carrera del pi wanted raco plus points landed poor room not worth money unless change,,,
18131,4,"good hotel great location hard bed nice rooms hotel recently remodeled modern updated decor taxi drivers called singapore hotel changed hands recently.booked orbitz 120 night, good location easy walk nightlife shopping times square, 11 bus went stright airport door, offered upgrade business class ro",positive,positive,positive,positive,positive,0.95,0.95,0.9,0.95,0.95,room immaculate,"good customer service, security lobby attentive desk helpful perfect english skills",good internet access,"good location easy walk nightlife shopping times square, 11 bus went stright airport door",security lobby attentive desk helpful perfect english skills
19088,4,"service style, 2 hour wait immigration queue finally got arrivals hall got wrong transfer car silly forgot cancel reservation, fine people uma sapna able pick centre seminyak anyway.on arrival did booking stated, welcome drink bags taken room concierge/front desk relevant information eat pretty got ",positive,positive,not_mentioned,not_mentioned,not_mentioned,0.95,0.9,0.0,0.0,0.0,rooms crisp clean new,"welcome drink bags taken room concierge/front desk relevant information eat pretty got information handle solo traveller 9 days plenty day thought stayed couple, uma sapna inviting pleasant stay",,,
14957,4,"good value money great location stayed jazz hotel nights august 2006 following reviews trip advisor.efficient check following fairly late evening arrival comfortable trendy looking room, minor downside 6th floor building vibrate underground trains went beneath, did stop 1:00 morning started 6:00. lo",positive,positive,positive,positive,not_mentioned,0.9,0.95,0.9,0.9,0.0,comfortable trendy looking room,staff encountered gave excellent service,free internet acces bonus,great location,
15896,4,"long comfort cheap smart just got 4 week consulting project tokyo, shinjuku hilton nice choice, lazy shuttle shinjuki station walk mile usually quite nice unless super hot tokyo days.my corporate rate 225 like exec level room, not waste money exec level.. not want eat use gym, gym real weights nice ",not_mentioned,not_mentioned,not_mentioned,positive,not_mentioned,0.0,0.0,0.0,0.9,0.0,,,,lazy shuttle shinjuki station walk mile usually quite nice unless super hot tokyo days,
9817,4,"good groups tidy clean, not far city centre attractions, restaurant good, let stay closing time, good italian eatery door funky little bar 50 yards away, wo n't dissapointed,  ",positive,not_mentioned,not_mentioned,positive,not_mentioned,0.9,0.0,0.0,0.9,0.0,tidy clean,,,not far city centre attractions,
818,4,"great location stayed week new year, great location away bourbon street, staff friendly attentive room clean neat, lawrence bellman great help, ca n't wait come, thanks staff,  ",positive,positive,not_mentioned,positive,not_mentioned,0.9,0.95,0.0,0.95,0.0,room clean neat,"staff friendly attentive, lawrence bellman great help",,great location away bourbon street,
8595,4,"nice hotel good location visited hotel february day break booked hotel website, recieved free upgrade delux suite plush clean handy soundproof windows drown noise outside, staff friendly good location hotel easy find.we definately stay jolly hotels,  ",positive,positive,not_mentioned,positive,not_mentioned,0.95,0.9,0.0,0.9,0.0,plush clean,staff friendly,,good location hotel easy find,
3992,4,"nice hotel good location family stayed hotel night cruise carnival destiny, used holiday inn rewards points stay, hotel close beach beach area rocky shore, taxi ride airport hotel 19.50 taxi ride airport 6 large bags 25, taxi old san juan 12, n't miss forts room nice clean, downside hotel checking u",positive,neutral,positive,positive,not_mentioned,0.9,0.7,0.8,0.9,0.0,room nice clean,downside hotel checking unbelievably slow,computers w/ internet free use nice,"hotel close beach, having walgreen 3 blocks away nice, taxi ride airport hotel 19.50",
694,4,"great hotel, great city, not sure hotel renovated negative reviews written great us.my girlfriend stayed week great time, clean looked new, staff nice good recommendations out.to fair did n't spend time room, nice pool beach day lobby bar start night going night, bar really busy not destination.i th",positive,positive,not_mentioned,not_mentioned,not_mentioned,0.95,0.9,0.0,0.0,0.0,clean looked new,staff nice good recommendations out,,,
5898,4,"great location price clean friendly family 15 stayed hotel lloret july 2006 good experience, rooms small basic price right, clean safe staff polite helpful, ca n't beat location la rambla metro bus airport tour buses, hotel elevator air conditioning consider summer, desk communicate basic english he",positive,positive,not_mentioned,positive,negative,0.95,0.95,0.0,0.95,0.9,clean safe,staff polite helpful,,ca n't beat location la rambla metro bus airport tour buses,"brother law stolen street bar scam distracted stole pack, new passport american consolate said place packed americans similar stories"
14051,4,"good location price hotel apsis aranea walking distance ramblas good location money, staff helpful stored luggage weeks couldn__Ç_é_ car, lucky return barcelona stay,  ",not_mentioned,positive,not_mentioned,positive,not_mentioned,0.0,0.9,0.0,0.9,0.0,,staff helpful stored luggage weeks,,"good location money, walking distance ramblas",
13932,4,"great value friendly staff, stayed silver cloud labor day weekend 3 nights, great place stay, excellent location blocks great shopping eateries, concerned not right downtown no problem, hotel offers regular shuttle service areas city pick, thing seattle city layout quite confusing opted use shuttle ",positive,positive,not_mentioned,positive,not_mentioned,0.95,0.95,0.0,0.95,0.0,hotel clean,"friendly staff, check-in greeted lovely cute desk clerk professional polite, impressed reservationists",,"excellent location blocks great shopping eateries, hotel offers regular shuttle service areas city pick",
3908,4,"relaxation goal stayed 01/23/05-01/29/05, business trip husband came just away relax, flew san juan rented car drove 90 minutes ponce, drivers impatient somewhat crazy, hotel self parked car checked room fourth floor, room decorated tropical feel clean like idea clean tile floors vs carpet hotel roo",positive,positive,not_mentioned,not_mentioned,neutral,0.95,0.95,0.0,0.0,0.7,room decorated tropical feel clean like idea clean tile floors vs carpet hotel room,staff outstanding,,,gate beach closes 6pm
4780,4,"stay 2 minutes walk london bridge tube station, rooms comfortable clean, good breakfast served, lot web sites priced hotels site considered acceptable budget night stay got room 1/2 price practically roomsnet.com,  ",positive,not_mentioned,not_mentioned,positive,not_mentioned,0.95,0.0,0.0,0.95,0.0,rooms comfortable clean,,,stay 2 minutes walk london bridge tube station,
14478,4,"trendy hotel stayed 2 nights quo, hotel heart walking distance prado plaza puerta, lot shopping restaurants nearby, hotel boutiquey, staff overall helpful, nice breakfast morning, pretty good rate 140 euros included breakfast 2, room trendy sitting area balcony seating.best close relatively quiet,  ",not_mentioned,positive,not_mentioned,positive,not_mentioned,0.0,0.9,0.0,0.95,0.0,,staff overall helpful,,"hotel heart walking distance prado plaza puerta, lot shopping restaurants nearby",
3011,4,"fantasy island, husband just returned 5 night stay melia, celebrating 10 year wedding anniversary amazing time, dr really venturing chose destination, not dissappointed way, chose resort based reviews website, negative comments compared inclusive resorts looking, turned great choice, place reminded ",positive,positive,not_mentioned,not_mentioned,not_mentioned,0.9,0.95,1.0,1.0,1.0,"place reminded fantasy island 80, gorgeous, looking tropical paradise place, lush gardens small ponds fish flamingos plenty peacocks roaming grounds, building restaurants lounge areas bars beautiful, especially night lights dimmed smell insense lounge beds light music playing place, romantic","did not royal service soon arrived treated did, thought confused royal service guests, taken room golf carts instead having wait train, set dinner reservation night japanese restaurant dinner following 2 nights italian",,,
19209,4,"decent place stay stayed nights october hotel good cheap place stay, sure trip advisor number 1 rating little high helped choose hotel place.the hotel 5 minutes walk beach not main strip.i booked trip strength trip advisor comments fair wasn`t disappointed.other comments breakfast true barely coffee",neutral,positive,not_mentioned,positive,not_mentioned,0.8,0.9,1.0,0.9,1.0,"the room 9th floor good sea view, little shabby worked no complaints",the staff helpful no trouble look bags checkout late flight hawaii,,the hotel 5 minutes walk beach not main strip,
16092,4,"gay faulty towers times, telephone confirm room arrived told not ready cleaners ill. told come hour, appointment wanted quick shower hour later not ready 5 minutes turned 30 floor rooms unable sleep reception acted echo chamber amplify music entering guests reception, needless say tired not sleep br",positive,neutral,not_mentioned,not_mentioned,not_mentioned,0.95,0.7,1.0,1.0,1.0,room spotless clean,"we asked rooms not surprised told floor quiet*, obliged remainder holiday went allowing normal gay surcharge drinks",,,
1917,4,"decent clean abd cheap stay stayed broadway manor inn 4 nights november, got great deal website 40- 50 night steal san francisco, hotel nice area, no homeless people walked feeling perfectly safe night.our room small clean, tv really old n't watch tv, lot noise street not sound sleeper, no issues th",positive,not_mentioned,not_mentioned,positive,positive,0.95,1.0,1.0,0.95,0.95,our room small clean,,,"the hotel located right bus stop, public transportation convenient, cable car 5 minute walk away",no homeless people walked feeling perfectly safe night
2631,4,"views amazing prepared spend lets start positives place absolutely beautiful, exactly advertised, grounds amazing suprisingly photos pools exactly, pools clean place just incredibly kept, contrary reviews early wyndam taken staff incredibly friendly helpful, people desk jessica concierge great help ",positive,positive,not_mentioned,neutral,not_mentioned,0.95,0.95,1.0,0.8,1.0,pools clean place just incredibly kept,"staff incredibly friendly helpful, people desk jessica concierge great help absolutely no problem, easy check check",,"i advise rent car, rent car airport smart cabs rio grande 65 dollars begin hotel offers shuttle charge person",
8412,4,"great place stay heart paris fantastic stay renaissance hotel, superb location centre paris close virtually major sights close walk metro distances far walking.breakfast presented lots choice fresh.xavier concierge extremely helpful recommending restaurants bars addition extensive knowledge shopping",not_mentioned,positive,not_mentioned,positive,not_mentioned,1.0,0.95,1.0,0.95,1.0,,xavier concierge extremely helpful recommending restaurants bars addition extensive knowledge shopping haunts st germain,,superb location centre paris close virtually major sights close walk metro distances far walking,
12235,4,"class service excellent service simply perfect accompaniment lovely hotel grand location, surroundings clean staff friendly eager way help, mad past westin choice accommodation, complaint shifty house driver took airport overcharging ride thinking n't notice, n't let stop staying just cab time,  ",positive,positive,not_mentioned,not_mentioned,negative,0.9,0.95,1.0,1.0,0.9,surroundings clean,staff friendly eager way help,,,"complaint shifty house driver took airport overcharging ride thinking n't notice, n't let stop staying just cab time"
6289,4,"great hotel, loved, hotel fantastic, stay hotel staying previously going expensive, gave rate low including breakfast, desk friendly helpful, pool kiddie pool, thing did n't like no hot tub, good gift shop concierge, hotel directly beach, restaurant good reasonable, rooms balconies view beach, rooms",positive,positive,not_mentioned,positive,not_mentioned,0.9,0.95,1.0,0.9,1.0,rooms pretty big really nice,desk friendly helpful,,hotel directly beach,
239,4,"overall great hotel stayed 6 days october 2004 convention, brought wife toddler son.the location incredibly convenient downtown seattle close convention center pike marketplace restaurants.the desk staff cordial provided room wanted reasonable time.the room received good view little puget sound clea",positive,positive,not_mentioned,positive,neutral,0.95,0.95,1.0,0.95,0.7,"the room received good view little puget sound clean comfortable, facilities maintained pool added plus","the desk staff cordial provided room wanted reasonable time, service room service bell staff maid service concierge friendly excellent",,the location incredibly convenient downtown seattle close convention center pike marketplace restaurants,notably checking mistake mini-bar charge 10 disputed removed promptly type apology mistake
7995,4,"clean quaint visited san francisco daughter price shopping hotels knew paid, hotel good area not far union square shopping market street, hotel renovated clean, uses fashioned elevators nice break electrical technical stuff surrounded daily, breakfast different expected good quick pastry heading cit",positive,positive,not_mentioned,positive,positive,0.95,0.95,1.0,0.9,0.95,hotel renovated clean,management extremely nice,,hotel good area not far union square shopping market street,felt safe locked door
18947,4,"truth told truth told peolple people people fantastic, read negative reviews coming punta cana makes wonder bad reviews, that- let say hotel beautiful grounds nicely, deluxe suite villa 6 booked vip status, close beach far restaurants, n't mind walking 5-6 minute walk, water fantastic, self favor- l",neutral,positive,not_mentioned,neutral,not_mentioned,0.7,0.9,0.0,0.8,0.0,the room little musty comes humidity just,truth told truth told peolple people people fantastic,,"close beach far restaurants, n't mind walking 5-6 minute walk",
9341,4,"great location hotel right center city, walk, 5 minutes dam square minutes rembrandtplein maybe 15 minutes- walking briskly leidensplein, breakfast buffet great- eggs order yogurt fresh fruit cereals hardboiled eggs cheese meats pretty expensive 25e person, able upgrade business rooms breakfast incl",positive,not_mentioned,not_mentioned,positive,not_mentioned,0.8,0.0,0.0,0.9,0.0,"the rooms nice radisson new hair dryers rooms, housekeeping ok glasses not changed, bathtub nice deep",,,"great location hotel right center city, walk, 5 minutes dam square minutes rembrandtplein maybe 15 minutes- walking briskly leidensplein",
2645,4,"great vacation rio mar wife visited puerto rico august 16-21. chose rio mar amenities not disappointed, research website knew expect distance san juan perfect, looking nightlife urban atmosphere plenty hotels san juan, rio mar true resort need property, complaint resort restaurants closed sporadical",positive,neutral,not_mentioned,neutral,not_mentioned,0.9,0.6,0.0,0.7,0.0,clean new.the hotel beach maintained,"thatched umbrella stands need shade portable umbrellas staff set, just early run day",,"research website knew expect distance san juan perfect, looking nightlife urban atmosphere plenty hotels san juan, rio mar true resort need property",
5438,4,"superb service staff got admit worried hotel read reviews, arrived croce di malta receptionist told moved hotel water main burst outside no water room, arranged checked similar standard hotel 100 yards road no hassle all.the day arranged baggage picked whilst sightseeing rooms waiting got evening, a",positive,positive,not_mentioned,not_mentioned,not_mentioned,0.9,1.0,0.0,0.0,0.0,the rooms nice clean lots character comfy beds,"superb service staff got admit worried hotel read reviews, receptionist arranged checked similar standard hotel 100 yards road no hassle all, staff good finding table looked full, receptionist arranged doctor arrived quicklly, receptionist helpful calling taxi not quibbling items n't had, i impressed hotel staff amazing going help sorting problems quickly could",,,
